Node,Name,Latitude,Longitude,Limit,Type,kVolts
1036,CRANE 0,31.186888,-102.596253,0,,115
1037,ODESSA 5 0,31.799158,-102.47409,0,,115
1038,FORT STOCKTON 1 0,30.772575,-102.505808,0,,115
1039,FORT STOCKTON 1 1,30.772575,-102.505808,147.5,Wind,22
1040,ANDREWS 0,32.335729,-102.697303,0,,115
1041,FORSAN 0,32.1408,-101.3986,0,,115
1042,FORSAN 1,32.1408,-101.3986,121.9000015,Wind,13.80000019
1043,FORSAN 2,32.1408,-101.3986,58.79999924,Wind,13.80000019
1044,BIG LAKE 0,31.272551,-101.172783,0,,115
1045,MIDLAND 5 0,32.053604,-102.20166,0,,115
1046,OZONA 0,30.575618,-101.331239,0,,115
1047,MONAHANS 1 0,31.5839,-102.9633,0,,115
1048,MONAHANS 1 1,31.5839,-102.9633,325.2000122,Natural Gas,18
1049,MONAHANS 1 2,31.5839,-102.9633,325.2000122,Natural Gas,18
1050,MONAHANS 1 3,31.5839,-102.9633,89.40000153,Natural Gas,18
1051,MONAHANS 1 4,31.5839,-102.9633,89.40000153,Natural Gas,18
1052,MONAHANS 1 5,31.5839,-102.9633,89.40000153,Natural Gas,18
1053,MONAHANS 1 6,31.5839,-102.9633,178.8000031,Natural Gas,230
1054,STANTON 0,32.489818,-101.754488,0,,115
1055,ODONNELL 0,32.92701,-101.764414,0,,115
1056,LENORAH 0,32.2353,-101.8367,0,,115
1057,LENORAH 1,32.2353,-101.8367,120,Wind,18
1058,IRAAN 3 0,30.8847,-101.9208,0,,115
1059,IRAAN 3 1,30.8847,-101.9208,5.599999905,Natural Gas,22
1060,IRAAN 3 2,30.8847,-101.9208,2,Natural Gas,22
1061,BIG SPRING 6 0,32.273182,-101.422436,0,,115
1062,BIG SPRING 6 1,32.273182,-101.422436,1.5,Solar,13.80000019
1063,BIG SPRING 6 2,32.273182,-101.422436,230,Solar,13.80000019
1064,ODESSA 3 0,32.001129,-102.312423,0,,115
1065,BIG SPRING 3 0,32.100823,-101.451385,0,,115
1066,BIG SPRING 3 1,32.100823,-101.451385,142.5,Wind,13.80000019
1067,BIG SPRING 7 0,32.102911,-101.365434,0,,115
1068,MIDLAND 1 0,31.517628,-101.918007,0,,115
1069,IRAAN 1 0,30.9178,-102.0867,0,,115
1070,IRAAN 1 1,30.9178,-102.0867,160.5,Wind,13.80000019
1071,ODESSA 1 0,31.8403,-102.3264,0,,115
1072,ODESSA 1 1,31.8403,-102.3264,192.1300049,Natural Gas,18
1073,ODESSA 1 2,31.8403,-102.3264,192.1300049,Natural Gas,18
1074,ODESSA 1 3,31.8403,-102.3264,192.1300049,Natural Gas,18
1075,ODESSA 1 4,31.8403,-102.3264,192.1300049,Natural Gas,18
1076,ODESSA 1 5,31.8403,-102.3264,192.1300049,Natural Gas,18
1077,ODESSA 1 6,31.8403,-102.3264,192.1300049,Natural Gas,18
1078,ODESSA 1 7,31.8403,-102.3264,95.5,Natural Gas,18
1079,ODESSA 1 8,31.8403,-102.3264,95.5,Natural Gas,500
1080,ODESSA 1 9,31.8403,-102.3264,95.5,Natural Gas,18
1081,ODESSA 1 10,31.8403,-102.3264,286.5,Natural Gas,230
1082,FORT STOCKTON 2 0,30.807272,-102.355628,150,Wind,115
1083,FORT STOCKTON 3 0,30.747459,-102.790792,0,,115
1084,BIG SPRING 2 0,31.9361,-101.2983,115.5,Wind,115
1085,KERMIT 0,31.696251,-103.138992,0,,115
1086,PECOS 0,31.803547,-103.599914,0,,115
1087,SHEFFIELD 0,30.596998,-101.78453,0,,115
1088,MCCAMEY 2 0,31.1392,-102.2253,75,Wind,115
1089,LAMESA 0,32.929648,-102.133506,0,,115
1090,GOLDSMITH 0,31.995,-102.828333,152.5,Wind,115
1091,RALLS 2 0,33.658671,-101.531037,0,,161
2001,PARIS 3 0,33.683869,-95.344733,0,,161
2002,SAVOY 0,33.628143,-96.367605,0,,500
2003,SAVOY 1,33.628143,-96.367605,0,,161
2004,SAVOY 2,33.628143,-96.367605,391.7999878,Natural Gas,13.80000019
2005,SAVOY 3,33.628143,-96.367605,391.7999878,Natural Gas,13.80000019
2006,SAVOY 4,33.628143,-96.367605,391.7999878,Natural Gas,13.80000019
2007,HONEY GROVE 0,33.615167,-95.900109,0,,161
2008,MEMPHIS 0,34.857258,-100.512868,0,,161
2009,IOWA PARK 0,33.973297,-98.721096,0,,161
2010,VERNON 2 0,33.899813,-99.773497,0,,161
2011,PANHANDLE 2 0,35.238333,-101.310833,0,,500
2012,PANHANDLE 2 1,35.238333,-101.310833,0,,161
2013,PANHANDLE 2 2,35.238333,-101.310833,200.6000061,Wind,18
2014,CHILDRESS 0,34.447226,-100.809848,0,,161
2015,FORESTBURG 0,33.471617,-97.445189,0,,161
2016,SHERMAN 3 0,33.627623,-96.767394,0,,161
2017,PANHANDLE 4 0,35.4275,-101.253056,0,,500
2018,PANHANDLE 4 1,35.4275,-101.253056,0,,161
2019,PANHANDLE 4 2,35.4275,-101.253056,218,Wind,20
2020,WICHITA FALLS 6 0,33.943784,-98.523064,0,,161
2021,PARIS 2 0,33.6968,-95.5577,0,,500
2022,PARIS 2 1,33.6968,-95.5577,0,,161
2023,PARIS 2 2,33.6968,-95.5577,83.33000183,Natural Gas,13.80000019
2024,PARIS 2 3,33.6968,-95.5577,166.6699982,Natural Gas,13.80000019
2025,WICHITA FALLS 4 0,33.864515,-98.491046,0,,161
2026,WHEELER 0,35.830763,-100.765905,0,,161
2027,DEPORT 0,33.482646,-95.320088,0,,161
2028,WICHITA FALLS 3 0,34.004783,-98.388757,0,,161
2029,SILVERTON 0,34.457478,-101.287161,0,,161
2030,BONHAM 0,33.708311,-96.240654,0,,161
2031,MATADOR 0,33.710684,-100.384217,0,,161
2032,ARTHUR CITY 0,33.857868,-95.649137,0,,161
2033,LEONARD 0,33.44144,-96.179163,0,,161
2034,GORDONVILLE 0,33.830932,-96.839764,0,,161
2035,KNOX CITY 0,33.431837,-99.853667,0,,161
2036,WICHITA FALLS 7 0,33.894941,-98.54367,0,,161
2037,LINDSAY 0,33.615855,-97.310834,0,,161
2038,ECTOR 0,33.55352,-96.282897,0,,161
2039,SUNSET 0,33.455991,-97.751818,0,,161
2040,CLARKSVILLE 0,33.663063,-94.997258,0,,161
2041,PANHANDLE 3 0,35.386038,-101.578572,0,,161
2042,PANHANDLE 3 1,35.386038,-101.578572,79.59999847,Wind,18
2043,SADLER 0,33.737974,-96.839543,0,,161
2044,WHITESBORO 0,33.743893,-96.936121,0,,161
2045,SHEPPARD AFB 0,33.969523,-98.509016,0,,161
2046,POTTSBORO 0,33.800717,-96.725989,0,,161
2047,BELLS 0,33.623645,-96.427874,0,,161
2048,CROSBYTON 0,33.774479,-100.990114,0,,161
2049,ELECTRA 0,34.131688,-99.106624,0,,161
2050,PATTONVILLE 0,33.40225,-95.483203,0,,161
2051,HENRIETTA 0,33.75849,-98.202251,0,,161
2052,PANHANDLE 6 0,34.90076,-100.994549,0,,161
2053,BOWIE 0,33.520572,-97.95612,0,,161
2054,WICHITA FALLS 1 0,33.9133,-98.4931,0,,500
2055,WICHITA FALLS 1 1,33.9133,-98.4931,0,,161
2056,WICHITA FALLS 1 2,33.9133,-98.4931,6,Coal,18
2057,WICHITA FALLS 1 3,33.9133,-98.4931,720,Coal,18
2058,WHITE DEER 0,35.4789,-101.2439,0,,161
2059,WHITE DEER 1,35.4789,-101.2439,80,Wind,13.80000019
2060,ROXTON 0,33.576823,-95.809701,0,,161
2061,VERNON 1 0,34.29,-99.364722,0,,161
2062,VERNON 1 1,34.29,-99.364722,135.3999939,Wind,18
2063,DENISON 2 0,33.770785,-96.604061,0,,161
2064,SUMNER 0,33.745236,-95.744327,0,,161
2065,GAINESVILLE 0,33.661583,-97.17635,0,,161
2066,ASPERMONT 0,33.183064,-100.245133,0,,161
2067,WICHITA FALLS 5 0,33.799085,-98.50984,0,,161
2068,WINDTHORST 0,33.512628,-98.457627,0,,161
2069,HOWE 0,33.450768,-96.742245,0,,161
2070,ARCHER 2 0,33.493056,-98.581944,0,,161
2071,ARCHER 2 1,33.493056,-98.581944,150,Wind,18
2072,COLLINSVILLE 0,33.537706,-96.906575,0,,161
2073,JAYTON 0,32.969722,-100.524167,0,,161
2074,JAYTON 1,32.969722,-100.524167,0,,115
2075,JAYTON 2,32.969722,-100.524167,0,,115
2076,JAYTON 3,32.969722,-100.524167,30,Wind,24
2077,MUENSTER 1 0,33.733006,-97.428406,0,,161
2078,MUENSTER 1 1,33.733006,-97.428406,112.5,Wind,13.80000019
2079,PADUCAH 0,33.994322,-100.287247,0,,161
2080,NOCONA 0,33.793074,-97.963802,0,,161
2081,DODD CITY 0,33.615539,-96.072156,0,,161
2082,WICHITA FALLS 2 0,33.8625,-98.5894,0,,161
2083,WICHITA FALLS 2 1,33.8625,-98.5894,20,Natural Gas,20
2084,WICHITA FALLS 2 2,33.8625,-98.5894,20,Natural Gas,20
2085,WICHITA FALLS 2 3,33.8625,-98.5894,40,Natural Gas,20
2086,MONTAGUE 0,33.626904,-97.687873,0,,161
2087,SPUR 0,33.341053,-100.714732,0,,161
2088,ARCHER 1 0,33.495278,-98.5,0,,161
2089,ARCHER 1 1,33.495278,-98.5,67.59999847,Wind,24
2090,ANNONA 0,33.498221,-94.890845,0,,161
2091,SEYMOUR 0,33.621145,-99.243765,0,,161
2092,DENISON 1 0,33.727126,-96.470794,0,,161
2093,PANHANDLE 5 0,35.3503,-101.54,0,,161
2094,PANHANDLE 5 1,35.3503,-101.54,10,Wind,13.80000019
2095,PANHANDLE 5 2,35.3503,-101.54,79.5,Wind,13.80000019
2096,RALLS 1 0,33.661111,-101.39,0,,500
2097,RALLS 1 1,33.661111,-101.39,0,,230
2098,RALLS 1 2,33.661111,-101.39,0,,161
2099,RALLS 1 3,33.661111,-101.39,10,Wind,18
2100,RALLS 1 4,33.661111,-101.39,150,Wind,18
2101,SHERMAN 1 0,33.582573,-96.617893,0,,500
2102,SHERMAN 1 1,33.582573,-96.617893,0,,161
2103,SHERMAN 1 2,33.582573,-96.617893,267.730011,Natural Gas,20
2104,SHERMAN 1 3,33.582573,-96.617893,267.730011,Natural Gas,20
2105,SHERMAN 1 4,33.582573,-96.617893,267.730011,Natural Gas,20
2106,WHITEWRIGHT 0,33.494577,-96.396115,0,,161
2107,SHERMAN 2 0,33.604131,-96.550405,0,,161
2108,ROCHESTER 0,33.322836,-99.642126,0,,161
2109,BURKBURNETT 0,34.103273,-98.622467,0,,161
2110,MUENSTER 2 0,33.682081,-97.382855,0,,161
2111,ARCHER CITY 0,33.527396,-98.884782,0,,161
2112,PETROLIA 0,34.008308,-98.25932,0,,161
2113,PARIS 1 0,33.6308,-95.59,0,,500
2114,PARIS 1 1,33.6308,-95.59,0,,161
2115,PARIS 1 2,33.6308,-95.59,184.7200012,Natural Gas,13.80000019
2116,PARIS 1 3,33.6308,-95.59,184.7200012,Natural Gas,13.80000019
2117,PARIS 1 4,33.6308,-95.59,184.7200012,Natural Gas,13.80000019
2118,PARIS 1 5,33.6308,-95.59,184.7200012,Natural Gas,13.80000019
2119,PARIS 1 6,33.6308,-95.59,184.7200012,Natural Gas,13.80000019
2120,PARIS 1 7,33.6308,-95.59,184.7200012,Natural Gas,13.80000019
2121,BAGWELL 0,33.801868,-95.151966,0,,161
2122,TELEPHONE 0,33.778716,-95.996823,0,,161
2123,PANHANDLE 1 0,35.442778,-101.372778,181.6999969,Wind,161
2124,VAN ALSTYNE 0,33.43566,-96.549913,0,,161
2125,TIOGA 0,33.464643,-96.892724,0,,161
2126,VALLEY VIEW 0,33.458028,-97.128552,0,,161
2127,MIAMI 0,35.653889,-100.538611,288.6000061,Wind,500
2128,MIAMI 1,35.653889,-100.538611,0,,161
2129,TRENTON 0,33.439125,-96.311485,0,,161
2130,HASKELL 0,33.122685,-99.650389,0,,161
2131,HASKELL 1,33.122685,-99.650389,0,,115
2132,HASKELL 2,33.122685,-99.650389,0,,115
2133,SAINT JO 0,33.741367,-97.535329,0,,161
3001,KERRVILLE 0,30.036701,-99.163039,0,,230
3002,KERRVILLE 1,30.036701,-99.163039,0,,115
3003,SWEETWATER 4 0,32.3606,-100.3389,0,,115
3004,SWEETWATER 4 1,32.3606,-100.3389,37.5,Wind,18
3005,LEAKEY 0,29.64447,-99.682471,0,,115
3006,HAMLIN 0,32.857004,-100.124032,0,,115
3007,MERKEL 3 0,32.473621,-100.032723,0,,115
3008,COLEMAN 0,31.736902,-99.567791,0,,115
3009,SONORA 0,30.441414,-100.56062,0,,115
3010,CAMP WOOD 0,29.6747,-100.078588,0,,115
3011,LLANO 0,30.653746,-98.918266,0,,115
3012,WILLOW CITY 0,30.437069,-98.708714,0,,115
3013,ABILENE 4 0,32.335677,-99.667488,0,,115
3014,KINGSLAND 0,30.672818,-98.442748,0,,115
3015,ROSCOE 6 0,32.415212,-100.573539,0,,115
3016,BLACKWELL 0,32.1981,-100.2686,0,,115
3017,BLACKWELL 1,32.1981,-100.2686,169.5,Wind,18
3018,CHRISTOVAL 0,31.085435,-100.67882,0,,230
3019,CHRISTOVAL 1,31.085435,-100.67882,0,,115
3020,CHRISTOVAL 2,31.085435,-100.67882,150,Wind,13.80000019
3021,LUEDERS 0,32.868619,-99.694492,0,,115
3022,COLORADO CITY 0,32.314505,-100.918356,0,,115
3023,STAMFORD 0,32.940911,-99.850964,0,,115
3024,ELDORADO 0,30.883539,-100.595464,0,,115
3025,SAN SABA 0,31.157093,-98.763991,0,,115
3026,ABILENE 2 0,32.6256,-99.4928,0,,230
3027,ABILENE 2 1,32.6256,-99.4928,0,,115
3028,ABILENE 2 2,32.6256,-99.4928,200,Wind,18
3029,LOMETA 0,31.257224,-98.376742,0,,115
3030,SAN ANGELO 1 0,31.50972,-100.322075,0,,115
3031,TUSCOLA 0,32.274081,-99.826041,0,,115
3032,ABILENE 7 0,32.333551,-99.927724,0,,115
3033,SNYDER 1 0,32.7204,-100.9952,0,,115
3034,SNYDER 1 1,32.7204,-100.9952,130.5,Wind,22
3035,CHEROKEE 0,30.93982,-99.079893,0,,115
3036,RICHLAND SPRINGS 0,31.517913,-99.135467,0,,115
3037,ROSCOE 2 0,32.4694,-100.6664,0,,230
3038,ROSCOE 2 1,32.4694,-100.6664,0,,115
3039,ROSCOE 2 2,32.4694,-100.6664,209,Wind,13.80000019
3040,BALLINGER 0,31.738576,-99.934162,0,,115
3041,SILVER 0,32.05,-100.6917,0,,230
3042,SILVER 1,32.05,-100.6917,0,,115
3043,SILVER 2,32.05,-100.6917,1.299999952,Natural Gas,13.80000019
3044,SILVER 3,32.05,-100.6917,89.40000153,Natural Gas,13.80000019
3045,SILVER 4,32.05,-100.6917,447,Natural Gas,13.80000019
3046,ROSCOE 5 0,32.3122,-100.5303,0,,230
3047,ROSCOE 5 1,32.3122,-100.5303,0,,115
3048,ROSCOE 5 2,32.3122,-100.5303,241,Wind,500
3049,ANSON 0,32.747863,-99.905394,0,,115
3050,DEL RIO 0,29.83722,-101.212436,0,,230
3051,DEL RIO 1,29.83722,-101.212436,0,,115
3052,HUNT 0,30.095115,-99.628211,0,,115
3053,WINGATE 0,32.214024,-100.05712,0,,230
3054,WINGATE 1,32.214024,-100.05712,0,,115
3055,WINGATE 2,32.214024,-100.05712,245.1699982,Wind,13.80000019
3056,WINGATE 3,32.214024,-100.05712,245.1699982,Wind,13.80000019
3057,WINGATE 4,32.214024,-100.05712,245.1699982,Wind,13.80000019
3058,STERLING CITY 1 0,31.9261,-100.9281,0,,230
3059,STERLING CITY 1 1,31.9261,-100.9281,0,,115
3060,STERLING CITY 1 2,31.9261,-100.9281,165.6300049,Wind,18
3061,STERLING CITY 1 3,31.9261,-100.9281,165.6300049,Wind,18
3062,STERLING CITY 1 4,31.9261,-100.9281,165.6300049,Wind,18
3063,STERLING CITY 1 5,31.9261,-100.9281,165.6300049,Wind,18
3064,ROSCOE 4 0,32.236944,-100.4833,0,,115
3065,ROSCOE 4 1,32.236944,-100.4833,80.5,Wind,18
3066,BRADY 0,31.176951,-99.616412,0,,115
3067,TRENT 1 0,32.4301,-100.235652,0,,115
3068,TRENT 1 1,32.4301,-100.235652,150,Wind,20
3069,OVALO 0,32.120249,-99.753027,0,,115
3070,NOLAN 0,32.2878,-100.1,0,,115
3071,NOLAN 1,32.2878,-100.1,170.1999969,Wind,24
3072,MILES 0,31.592013,-100.192616,0,,115
3073,BRACKETTVILLE 2 0,29.234722,-100.209167,0,,115
3074,BRACKETTVILLE 2 1,29.234722,-100.209167,99.80000305,Wind,13.80000019
3075,MASON 0,30.843122,-99.570053,0,,115
3076,BRACKETTVILLE 3 0,29.395621,-100.439985,0,,115
3077,ABILENE 6 0,32.362783,-99.817314,0,,115
3078,HERMLEIGH 0,32.5886,-100.6728,0,,230
3079,HERMLEIGH 1,32.5886,-100.6728,0,,161
3080,HERMLEIGH 2,32.5886,-100.6728,0,,115
3081,HERMLEIGH 3,32.5886,-100.6728,249,Wind,20
3082,MERKEL 1 0,32.318221,-100.176986,0,,230
3083,MERKEL 1 1,32.318221,-100.176986,0,,115
3084,MERKEL 1 2,32.318221,-100.176986,232.5,Wind,13.80000019
3085,LORAINE 1 0,32.4375,-100.7444,0,,115
3086,LORAINE 1 1,32.4375,-100.7444,75,Wind,13.19999981
3087,LORAINE 1 2,32.4375,-100.7444,75,Wind,13.19999981
3088,ABILENE 1 0,32.5144,-99.6564,0,,230
3089,ABILENE 1 1,32.5144,-99.6564,0,,161
3090,ABILENE 1 2,32.5144,-99.6564,0,,161
3091,ABILENE 1 3,32.5144,-99.6564,0,,115
3092,ABILENE 1 4,32.5144,-99.6564,200,Wind,13.80000019
3093,ROCKSPRINGS 0,29.988092,-100.286076,0,,115
3094,MERKEL 2 0,32.311556,-100.061589,0,,115
3095,MERKEL 2 1,32.311556,-100.061589,120.5999985,Wind,18
3096,FLUVANNA 2 0,32.94793,-101.147784,0,,230
3097,FLUVANNA 2 1,32.94793,-101.147784,0,,115
3098,FLUVANNA 2 2,32.94793,-101.147784,160,Wind,13.80000019
3099,DYESS AFB 0,32.415823,-99.90623,0,,115
3100,HAWLEY 0,32.630473,-99.830642,0,,115
3101,BUCHANAN DAM 2 0,30.936768,-98.467066,0,,115
3102,ABILENE 3 0,32.576489,-99.665323,0,,115
3103,SWEETWATER 5 0,32.291861,-100.210748,0,,115
3104,BUCHANAN DAM 1 0,30.731599,-98.385422,0,,115
3105,BUCHANAN DAM 1 1,30.731599,-98.385422,15,Hydro,13.19999981
3106,BUCHANAN DAM 1 2,30.731599,-98.385422,54.90000153,Hydro,13.19999981
3107,INGRAM 0,30.159136,-99.345011,0,,115
3108,KEMPNER 0,31.088158,-98.01069,0,,115
3109,FLUVANNA 1 0,32.92544,-101.219397,0,,115
3110,FLUVANNA 1 1,32.92544,-101.219397,84,Wind,13.80000019
3111,STERLING CITY 2 0,31.951944,-100.791389,0,,115
3112,STERLING CITY 2 1,31.951944,-100.791389,74.80000305,Wind,18
3113,STERLING CITY 2 2,31.951944,-100.791389,74.80000305,Wind,18
3114,SAN ANGELO 2 0,31.268843,-100.563525,0,,115
3115,ROTAN 0,32.891818,-100.498206,0,,115
3116,SYNDER 0,32.739294,-100.738949,0,,115
3117,SYNDER 1,32.739294,-100.738949,63,Wind,13.80000019
3118,SYNDER 2,32.739294,-100.738949,120,Wind,13.80000019
3119,BRACKETTVILLE 1 0,29.328889,-100.383889,0,,115
3120,BRACKETTVILLE 1 1,29.328889,-100.383889,39.59999847,Solar,13.80000019
3121,ROSCOE 1 0,32.4969,-100.5797,0,,115
3122,ROSCOE 1 1,32.4969,-100.5797,197,Wind,18
3123,UVALDE 0,29.151012,-100.01587,0,,115
3124,FREDERICKSBURG 0,30.280938,-98.876683,0,,115
3125,ABILENE 5 0,32.462235,-99.715894,0,,115
3126,SABINAL 0,29.303817,-99.630829,0,,115
3127,SWEETWATER 2 0,32.290833,-100.4219,135,Wind,115
3128,LORAINE 2 0,32.404869,-100.711396,0,,115
3129,ROSCOE 3 0,32.3983,-100.6481,126.5,Wind,115
3130,SAN ANGELO 3 0,31.802748,-101.055625,0,,115
3131,TUSOCOLA 0,32.303889,-100.021667,114,Wind,115
3132,EDEN 0,31.222764,-99.896212,0,,115
3133,SNYDER 2 0,32.747058,-100.954661,51.29999924,Natural Gas,230
3134,SNYDER 2 1,32.747058,-100.954661,0,,161
3135,SNYDER 2 2,32.747058,-100.954661,0,,161
3136,SNYDER 2 3,32.747058,-100.954661,0,,115
3137,SWEETWATER 1 0,32.4081,-100.1286,101.1999969,Wind,115
3138,MENARD 0,30.897544,-100.107479,0,,115
3139,WINTERS 0,31.858516,-100.165338,0,,115
3140,GOLDSBORO 0,32.052075,-99.69465,0,,115
3141,SWEETWATER 3 0,32.3472,-100.3703,91.5,Wind,115
3142,GOODFELLOW AFB 0,31.289523,-100.15267,0,,115
3143,SANTA ANNA 0,31.515316,-99.380601,0,,115
3144,ROWENA 0,31.411505,-99.682323,0,,115
3145,TRENT 2 0,32.664859,-100.212875,0,,115
3146,JUNCTION 0,30.45867,-100.06915,0,,115
3147,LAMPASAS 0,31.102377,-98.25934,0,,115
4002,LAUGHLIN A F B 0,29.358523,-100.777486,0,,115
4003,EDINBURG 3 0,26.450369,-98.276935,0,,115
4004,LAREDO 7 0,27.833509,-99.685482,0,,230
4005,LAREDO 7 1,27.833509,-99.685482,0,,115
4006,BRUNI 2 0,27.36513,-98.996708,0,,115
4007,MCALLEN 2 0,26.215816,-98.239592,0,,115
4008,POTEET 0,29.079849,-98.642309,0,,115
4009,SARITA 3 0,27.0702,-97.5077,0,,115
4010,SARITA 3 1,27.0702,-97.5077,201.6000061,Wind,20
4011,HEBBRONVILLE 0,27.100448,-98.789966,0,,115
4012,PROGRESO 0,26.083177,-97.96214,0,,115
4013,EDINBURG 2 0,26.280689,-98.183295,0,,115
4014,EAGLE PASS 0,28.476396,-100.276888,0,,230
4015,EAGLE PASS 1,28.476396,-100.276888,0,,115
4016,CHARLOTTE 0,28.790915,-98.717634,0,,115
4017,CORPUS CHRISTI 4 0,27.627121,-97.269242,0,,115
4018,WOODSBORO 0,28.187086,-97.382251,0,,115
4019,MERCEDES 0,26.148831,-97.831112,0,,115
4020,CORPUS CHRISTI 16 0,27.65787,-97.479816,0,,115
4021,EDCOUCH 0,26.374541,-97.98028,0,,115
4022,ENCINAL 0,28.041684,-99.399193,0,,115
4023,MOORE 0,28.941736,-98.851298,0,,115
4024,CHRISTINE 0,28.7044,-98.4775,0,,230
4025,CHRISTINE 1,28.7044,-98.4775,0,,115
4026,CHRISTINE 2,28.7044,-98.4775,410,Coal,13.80000019
4027,MCALLEN 3 0,26.162344,-98.2487,0,,115
4028,FANNIN 0,28.7128,-97.214167,0,,230
4029,FANNIN 1,28.7128,-97.214167,0,,115
4030,FANNIN 2,28.7128,-97.214167,622.4000244,Coal,13.80000019
4031,SAN YGNACIO 0,27.128233,-99.33083,0,,115
4032,KINGSVILLE 0,27.444204,-97.865597,0,,115
4033,LAREDO 6 0,27.513811,-99.502143,0,,115
4034,HIDALGO 0,26.111189,-98.241746,0,,115
4035,CORPUS CHRISTI 18 0,27.838247,-97.596306,0,,115
4036,CRYSTAL CITY 0,28.888748,-99.562652,0,,115
4037,SINTON 0,28.121597,-97.553013,0,,115
4038,BEEVILLE 0,28.407712,-97.71062,0,,115
4039,MISSION 4 0,26.228735,-98.376166,0,,230
4040,MISSION 4 1,26.228735,-98.376166,0,,115
4041,SAN JUAN 0,26.144539,-98.121312,0,,230
4042,SAN JUAN 1,26.144539,-98.121312,0,,115
4043,FALCON HEIGHTS 2 0,26.678196,-99.103088,0,,115
4044,FALCON HEIGHTS 1 0,26.5575,-99.1642,0,,115
4045,FALCON HEIGHTS 1 1,26.5575,-99.1642,31.5,Hydro,13.80000019
4046,FALCON HEIGHTS 1 2,26.5575,-99.1642,9.600000381,Hydro,13.80000019
4047,FALCON HEIGHTS 1 3,26.5575,-99.1642,66,Hydro,13.80000019
4048,LA JOYA 0,26.242813,-98.494493,0,,115
4049,SEBASTIAN 2 0,26.33072,-97.5857,0,,115
4050,SEBASTIAN 2 1,26.33072,-97.5857,200,Wind,13.80000019
4051,BISHOP 0,27.5697,-97.8228,0,,115
4052,BISHOP 1,27.5697,-97.8228,44.20000076,Natural Gas,18
4053,ARMSTRONG 2 0,26.911014,-97.773774,0,,115
4054,SKIDMORE 0,28.246189,-97.650894,0,,115
4055,CORPUS CHRISTI 9 0,27.819419,-97.392456,0,,115
4056,GREGORY 0,27.88929,-97.258417,0,,230
4057,GREGORY 1,27.88929,-97.258417,0,,115
4058,GREGORY 2,27.88929,-97.258417,144,Natural Gas,13.80000019
4059,GREGORY 3,27.88929,-97.258417,144,Natural Gas,13.80000019
4060,GREGORY 4,27.88929,-97.258417,144,Natural Gas,13.80000019
4061,GREGORY 5,27.88929,-97.258417,172.3300018,Natural Gas,13.80000019
4062,GREGORY 6,27.88929,-97.258417,172.3300018,Natural Gas,13.80000019
4063,GREGORY 7,27.88929,-97.258417,172.3300018,Natural Gas,13.80000019
4064,CORPUS CHRISTI 2 0,27.8322,-97.5281,0,,115
4065,CORPUS CHRISTI 2 1,27.8322,-97.5281,47,Natural Gas,18
4066,WESLACO 0,26.158622,-97.989155,0,,115
4067,HARLINGEN 1 0,26.255523,-97.667502,0,,115
4068,ELSA 0,26.307831,-98.039361,0,,115
4069,CORPUS CHRISTI 17 0,27.771237,-97.518791,0,,115
4070,BROWNSVILLE 2 0,25.943923,-97.317944,0,,230
